h_teacher_welcome | teacher  | Hello, dear friends! Welcome to our English lesson!
s_adi_say_lamp   | adi      | *It's a lamp*!
h_teacher_explain | teacher  | Now, let's do the "Sound Echo Drill"!
h_teacher_point  | teacher  | I will say a word, and you *echo* it back to me.  # focus: echo
h_teacher_say_word | teacher  | *La-mp*!
h_teacher_repeat | teacher  | Now, you *echo*: *La-mp*!  # focus: echo
h_teacher_say_word | teacher  | *Bo-x*!
h_teacher_repeat | teacher  | Now, you *echo*: *Bo-x*!  # focus: echo
h_teacher_say_word | teacher  | *Toy-z*!
h_teacher_repeat | teacher  | Now, you *echo*: *Toy-z*!  # focus: echo

== Section Title
narrator         | narrator | Word Cards
h_teacher_explain | teacher  | Let's look at some *word cards* and learn more.
i_word_room      | teacher  | This word is *Room*. card=Room;split=Ro-om  # focus: Room
h_teacher_tip    | teacher  | A *room* is a space inside a house where you sleep or play.  # focus: room
i_word_bed       | teacher  | This word is *Bed*. card=Bed;split=Be-d  # focus: Bed
h_teacher_tip    | teacher  | A *bed* is the soft furniture where you lie down to sleep.  # focus: bed
i_word_table     | teacher  | This word is *Table*. card=Table;split=Ta-ble  # focus: Table
h_teacher_tip    | teacher  | A *table* is a flat surface with legs for keeping things.  # focus: table
i_word_chair     | teacher  | This word is *Chair*. card=Chair;split=Ch-air  # focus: Chair
h_teacher_tip    | teacher  | A *chair* is something with a backrest where you sit down.  # focus: chair
i_word_lamp      | teacher  | This word is *Lamp*. card=Lamp;split=La-mp  # focus: Lamp
h_teacher_tip    | teacher  | A *lamp* is a small device that gives you light.  # focus: lamp
i_word_box       | teacher  | This word is *Box*. card=Box;split=Bo-x  # focus: Box
h_teacher_tip    | teacher  | A *box* is a square container used to hold or store things.  # focus: box
i_word_toys      | teacher  | This word is *Toys*. card=Toys;split=Toy-z  # focus: Toys
h_teacher_tip    | teacher  | *Toys* are fun items made for children to play with.  # focus: Toys

== Section Title
narrator         | narrator | Quiz Time!
h_teacher_quiz   | teacher  | It's *quiz time*! Let's see how much you learned today.
h_teacher_question | teacher  | What color is Adi's *bed*?  # focus: bed
h_teacher_pause  | teacher  | (Pause for child to answer)
h_teacher_answer | teacher  | The correct answer is: It is *blue*!  # focus: blue
h_teacher_question | teacher  | What shines bright *light* on the *table*?  # focus: light, table
h_teacher_pause  | teacher  | (Pause for child to answer)
h_teacher_answer | teacher  | The correct answer is: The *lamp*!  # focus: lamp
h_teacher_question | teacher  | Where does Adi sit down?
h_teacher_pause  | teacher  | (Pause for child to answer)
h_teacher_answer | teacher  | The correct answer is: On the *chair*!  # focus: chair
h_teacher_question | teacher  | What is inside the big *box*?  # focus: box
h_teacher_pause  | teacher  | (Pause for child to answer)
h_teacher_answer | teacher  | The correct answer is: *Toys*!  # focus: Toys
h_teacher_question | teacher  | Say "Yes" or "No": Is Adi sad in his *room*?  # focus: room
h_teacher_pause  | teacher  | (Pause for child to answer)
h_teacher_answer | teacher  | The correct answer is: *No*!  # focus: No

== Section Title
narrator         | narrator | Outro
h_teacher_happy  | teacher  | Great job today, everyone! You learned to *name things* in your *room*.  # focus: room
h_teacher_review | teacher  | You also practiced speaking clearly and using *shortcuts*!  # focus: shortcuts
h_teacher_goodbye | teacher  | Keep practicing these words and have fun! See you next time!
